Estimate,Std Error,t-stat,P-Value
61586.9606,0.0,0.0,1.0
4388.3512,302503.6673,0.0145,0.9884
4388.3512,302503.6673,0.0145,0.9884
12744.0384,5131.2821,2.4836,0.0131
19064.707,5217.0239,3.6543,0.0003
9219.3841,6158.1138,1.4971,0.1345
